timestep,policy_id,gt_policy_id
0.000000,0,0
0.033333,0,0
0.066667,0,0
0.100000,0,0
0.133333,0,0
0.166667,0,0
0.200000,0,0
0.233333,0,0
0.266667,0,0
0.300000,0,0
0.333333,0,0
0.366667,0,0
0.400000,0,0
0.433333,0,0
0.466667,0,0
0.500000,0,0
0.533333,0,0
0.566667,0,0
0.600000,0,0
0.633333,0,0
0.666667,0,0
0.700000,0,0
0.733333,0,0
0.766667,0,0
0.800000,0,0
0.833333,0,0
0.866667,0,0
0.900000,0,0
0.933333,0,0
0.966667,0,0
1.000000,0,0
1.033333,0,0
1.066667,0,0
1.100000,0,0
1.133333,0,0
1.166667,0,0
1.200000,0,0
1.233333,0,0
1.266667,0,0
1.300000,0,0
1.333333,0,0
1.366667,0,0
1.400000,0,0
1.433333,0,0
1.466667,0,0
1.500000,0,0
1.533333,0,0
1.566667,0,0
1.600000,0,0
1.633333,0,0
1.666667,0,0
1.700000,0,0
1.733333,0,0
1.766667,0,0
1.800000,0,0
1.833333,0,0
1.866667,0,0
1.900000,0,0
1.933333,0,0
1.966667,0,0
2.000000,0,0
2.033333,0,0
2.066667,0,0
2.100000,0,0
2.133333,0,0
2.166667,0,0
2.200000,0,0
2.233333,0,0
2.266667,0,0
2.300000,0,0
2.333333,0,0
2.366667,0,0
2.400000,0,0
2.433333,0,0
2.466667,0,0
2.500000,0,0
2.533333,0,0
2.566667,0,1
2.600000,0,1
2.633333,0,1
2.666667,0,1
2.700000,0,1
2.733333,0,1
2.766667,0,1
2.800000,0,1
2.833333,0,1
2.866667,0,1
2.900000,0,1
2.933333,0,1
2.966667,0,1
3.000000,0,1
3.033333,0,1
3.066667,0,1
3.100000,0,1
3.133333,0,1
3.166667,0,1
3.200000,0,1
3.233333,0,1
3.266667,0,1
3.300000,0,1
3.333333,0,1
3.366667,0,1
3.400000,0,1
3.433333,0,1
3.466667,1,1
3.500000,1,1
3.533333,1,1
3.566667,1,1
3.600000,1,1
3.633333,1,1
3.666667,1,1
3.700000,1,1
3.733333,1,1
3.766667,1,1
3.800000,1,1
3.833333,1,1
3.866667,1,1
3.900000,1,1
3.933333,1,1
3.966667,1,1
4.000000,1,1
4.033333,1,1
4.066667,1,1
4.100000,1,1
4.133333,1,1
4.166667,1,1
4.200000,1,1
4.233333,1,1
4.266667,1,1
4.300000,1,1
4.333333,1,1
4.366667,1,1
4.400000,1,1
4.433333,1,1
4.466667,1,1
4.500000,1,1
4.533333,1,1
4.566667,1,1
4.600000,1,1
4.633333,1,1
4.666667,1,1
4.700000,1,1
4.733333,1,1
4.766667,1,1
4.800000,1,1
4.833333,1,1
4.866667,1,1
4.900000,1,1
4.933333,1,1
4.966667,1,1
5.000000,1,1
5.033333,1,1
5.066667,1,1
5.100000,1,1
5.133333,1,1
5.166667,1,1
5.200000,1,1
5.233333,1,1
5.266667,1,1
5.300000,1,1
5.333333,1,1
5.366667,1,1
5.400000,1,1
5.433333,1,1
5.466667,1,1
5.500000,1,1
5.533333,1,1
5.566667,1,1
5.600000,1,1
5.633333,1,1
5.666667,1,1
5.700000,1,1
5.733333,1,1
5.766667,1,1
5.800000,1,1
5.833333,1,1
5.866667,1,1
5.900000,1,1
5.933333,1,1
5.966667,1,1
6.000000,1,1
6.033333,1,1
6.066667,1,1
6.100000,1,1
6.133333,1,1
6.166667,1,1
6.200000,1,1
6.233333,1,1
6.266667,1,1
6.300000,1,1
