timestep,policy_id,gt_policy_id,confidence,entropy,prob_policy_0,prob_policy_1
0.000000,1,1,0.955123,0.183145,0.044877,0.955123
0.033333,1,1,0.955123,0.183145,0.044877,0.955123
0.066667,1,1,0.955123,0.183145,0.044877,0.955123
0.100000,1,1,0.955123,0.183145,0.044877,0.955123
0.133333,1,1,0.955123,0.183145,0.044877,0.955123
0.166667,1,1,0.955123,0.183145,0.044877,0.955123
0.200000,1,1,0.955123,0.183145,0.044877,0.955123
0.233333,1,1,0.955123,0.183145,0.044877,0.955123
0.266667,0,1,0.693417,0.616340,0.306583,0.693417
0.300000,0,1,0.693417,0.616340,0.306583,0.693417
0.333333,0,1,0.693417,0.616340,0.306583,0.693417
0.366667,0,1,0.693417,0.616340,0.306583,0.693417
0.400000,0,1,0.693417,0.616340,0.306583,0.693417
0.433333,0,1,0.693417,0.616340,0.306583,0.693417
0.466667,0,1,0.693417,0.616340,0.306583,0.693417
0.500000,0,1,0.693417,0.616340,0.306583,0.693417
0.533333,0,0,0.763532,0.546974,0.763532,0.236468
0.566667,0,0,0.763532,0.546974,0.763532,0.236468
0.600000,0,0,0.763532,0.546974,0.763532,0.236468
0.633333,0,0,0.763532,0.546974,0.763532,0.236468
0.666667,0,0,0.763532,0.546974,0.763532,0.236468
0.700000,0,0,0.763532,0.546974,0.763532,0.236468
0.733333,0,0,0.763532,0.546974,0.763532,0.236468
0.766667,0,0,0.763532,0.546974,0.763532,0.236468
0.800000,0,0,0.758844,0.552408,0.758844,0.241156
0.833333,0,0,0.758844,0.552408,0.758844,0.241156
0.866667,0,0,0.758844,0.552408,0.758844,0.241156
0.900000,0,0,0.758844,0.552408,0.758844,0.241156
0.933333,0,0,0.758844,0.552408,0.758844,0.241156
0.966667,0,0,0.758844,0.552408,0.758844,0.241156
1.000000,0,0,0.758844,0.552408,0.758844,0.241156
1.033333,0,1,0.758844,0.552408,0.758844,0.241156
1.066667,0,1,0.665022,0.637648,0.334978,0.665022
1.100000,0,1,0.665022,0.637648,0.334978,0.665022
1.133333,0,1,0.665022,0.637648,0.334978,0.665022
1.166667,0,1,0.665022,0.637648,0.334978,0.665022
1.200000,0,1,0.665022,0.637648,0.334978,0.665022
1.233333,0,1,0.665022,0.637648,0.334978,0.665022
1.266667,0,1,0.665022,0.637648,0.334978,0.665022
1.300000,0,1,0.665022,0.637648,0.334978,0.665022
1.333333,1,1,0.888960,0.348685,0.111040,0.888960
1.366667,1,1,0.888960,0.348685,0.111040,0.888960
1.400000,1,1,0.888960,0.348685,0.111040,0.888960
1.433333,1,1,0.888960,0.348685,0.111040,0.888960
1.466667,1,1,0.888960,0.348685,0.111040,0.888960
1.500000,1,1,0.888960,0.348685,0.111040,0.888960
1.533333,1,1,0.888960,0.348685,0.111040,0.888960
1.566667,1,1,0.888960,0.348685,0.111040,0.888960
1.600000,1,1,0.943758,0.216498,0.056242,0.943758
1.633333,1,1,0.943758,0.216498,0.056242,0.943758
1.666667,1,1,0.943758,0.216498,0.056242,0.943758
1.700000,1,1,0.943758,0.216498,0.056242,0.943758
1.733333,1,1,0.943758,0.216498,0.056242,0.943758
1.766667,1,1,0.943758,0.216498,0.056242,0.943758
1.800000,1,1,0.943758,0.216498,0.056242,0.943758
1.833333,1,1,0.943758,0.216498,0.056242,0.943758
1.866667,1,1,0.998557,0.010878,0.001443,0.998557
1.900000,1,1,0.998557,0.010878,0.001443,0.998557
1.933333,1,1,0.998557,0.010878,0.001443,0.998557
1.966667,1,1,0.998557,0.010878,0.001443,0.998557
2.000000,1,1,0.998557,0.010878,0.001443,0.998557
2.033333,1,1,0.998557,0.010878,0.001443,0.998557
2.066667,1,1,0.998557,0.010878,0.001443,0.998557
2.100000,1,1,0.998557,0.010878,0.001443,0.998557
2.133333,1,1,0.998557,0.010878,0.001443,0.998557
2.166667,1,1,0.998557,0.010878,0.001443,0.998557
2.200000,1,1,0.998557,0.010878,0.001443,0.998557
2.233333,1,1,0.998557,0.010878,0.001443,0.998557
2.266667,1,1,0.998557,0.010878,0.001443,0.998557
2.300000,1,1,0.998557,0.010878,0.001443,0.998557
2.333333,1,1,0.998557,0.010878,0.001443,0.998557
2.366667,1,1,0.998557,0.010878,0.001443,0.998557
2.400000,1,1,0.999144,0.006900,0.000856,0.999144
2.433333,1,1,0.999144,0.006900,0.000856,0.999144
2.466667,1,1,0.999144,0.006900,0.000856,0.999144
2.500000,1,1,0.999144,0.006900,0.000856,0.999144
2.533333,1,1,0.999144,0.006900,0.000856,0.999144
2.566667,1,1,0.999144,0.006900,0.000856,0.999144
2.600000,1,1,0.999144,0.006900,0.000856,0.999144
2.633333,1,1,0.999144,0.006900,0.000856,0.999144
2.666667,1,1,0.999819,0.001744,0.000181,0.999819
2.700000,1,1,0.999819,0.001744,0.000181,0.999819
2.733333,1,1,0.999819,0.001744,0.000181,0.999819
2.766667,1,1,0.999819,0.001744,0.000181,0.999819
2.800000,1,1,0.999819,0.001744,0.000181,0.999819
2.833333,1,1,0.999819,0.001744,0.000181,0.999819
2.866667,1,1,0.999819,0.001744,0.000181,0.999819
2.900000,1,1,0.999819,0.001744,0.000181,0.999819
2.933333,1,1,0.999935,0.000691,0.000065,0.999935
2.966667,1,1,0.999935,0.000691,0.000065,0.999935
3.000000,1,1,0.999935,0.000691,0.000065,0.999935
3.033333,1,1,0.999935,0.000691,0.000065,0.999935
3.066667,1,1,0.999935,0.000691,0.000065,0.999935
3.100000,1,1,0.999935,0.000691,0.000065,0.999935
3.133333,1,1,0.999935,0.000691,0.000065,0.999935
3.166667,1,1,0.999935,0.000691,0.000065,0.999935
3.200000,1,1,0.999488,0.004389,0.000512,0.999488
3.233333,1,1,0.999488,0.004389,0.000512,0.999488
3.266667,1,1,0.999488,0.004389,0.000512,0.999488
3.300000,1,1,0.999488,0.004389,0.000512,0.999488
3.333333,1,1,0.999488,0.004389,0.000512,0.999488
3.366667,1,1,0.999488,0.004389,0.000512,0.999488
3.400000,1,1,0.999488,0.004389,0.000512,0.999488
3.433333,1,1,0.999488,0.004389,0.000512,0.999488
3.466667,1,1,0.998612,0.010521,0.001388,0.998612
3.500000,1,1,0.998612,0.010521,0.001388,0.998612
3.533333,1,1,0.998612,0.010521,0.001388,0.998612
3.566667,1,1,0.998612,0.010521,0.001388,0.998612
3.600000,1,1,0.998612,0.010521,0.001388,0.998612
3.633333,1,1,0.998612,0.010521,0.001388,0.998612
3.666667,1,1,0.998612,0.010521,0.001388,0.998612
3.700000,1,1,0.998612,0.010521,0.001388,0.998612
3.733333,1,1,0.998211,0.013103,0.001789,0.998211
3.766667,1,1,0.998211,0.013103,0.001789,0.998211
3.800000,1,1,0.998211,0.013103,0.001789,0.998211
3.833333,1,1,0.998211,0.013103,0.001789,0.998211
3.866667,1,1,0.998211,0.013103,0.001789,0.998211
3.900000,1,1,0.998211,0.013103,0.001789,0.998211
3.933333,1,1,0.998211,0.013103,0.001789,0.998211
3.966667,1,1,0.998211,0.013103,0.001789,0.998211
4.000000,1,1,0.998211,0.013103,0.001789,0.998211
4.033333,1,1,0.998211,0.013103,0.001789,0.998211
