timestep,policy_id,gt_policy_id,confidence,entropy,prob_policy_0,prob_policy_1
0.000000,1,0,0.554667,0.687158,0.445333,0.554667
0.033333,1,0,0.554667,0.687158,0.445333,0.554667
0.066667,1,0,0.554667,0.687158,0.445333,0.554667
0.100000,1,0,0.554667,0.687158,0.445333,0.554667
0.133333,1,0,0.554667,0.687158,0.445333,0.554667
0.166667,1,0,0.554667,0.687158,0.445333,0.554667
0.200000,1,0,0.554667,0.687158,0.445333,0.554667
0.233333,1,0,0.554667,0.687158,0.445333,0.554667
0.266667,1,0,0.586383,0.678148,0.413617,0.586383
0.300000,1,0,0.586383,0.678148,0.413617,0.586383
0.333333,1,0,0.586383,0.678148,0.413617,0.586383
0.366667,1,0,0.586383,0.678148,0.413617,0.586383
0.400000,1,0,0.586383,0.678148,0.413617,0.586383
0.433333,1,0,0.586383,0.678148,0.413617,0.586383
0.466667,1,0,0.586383,0.678148,0.413617,0.586383
0.500000,1,0,0.586383,0.678148,0.413617,0.586383
0.533333,1,0,0.807643,0.489623,0.192357,0.807643
0.566667,1,0,0.807643,0.489623,0.192357,0.807643
0.600000,1,0,0.807643,0.489623,0.192357,0.807643
0.633333,1,0,0.807643,0.489623,0.192357,0.807643
0.666667,1,0,0.807643,0.489623,0.192357,0.807643
0.700000,1,0,0.807643,0.489623,0.192357,0.807643
0.733333,1,0,0.807643,0.489623,0.192357,0.807643
0.766667,1,0,0.807643,0.489623,0.192357,0.807643
0.800000,1,0,0.998566,0.010819,0.001434,0.998566
0.833333,1,0,0.998566,0.010819,0.001434,0.998566
0.866667,1,0,0.998566,0.010819,0.001434,0.998566
0.900000,1,0,0.998566,0.010819,0.001434,0.998566
0.933333,1,0,0.998566,0.010819,0.001434,0.998566
0.966667,1,0,0.998566,0.010819,0.001434,0.998566
1.000000,1,0,0.998566,0.010819,0.001434,0.998566
1.033333,1,0,0.998566,0.010819,0.001434,0.998566
1.066667,1,0,0.999965,0.000398,0.000035,0.999965
1.100000,1,0,0.999965,0.000398,0.000035,0.999965
1.133333,1,0,0.999965,0.000398,0.000035,0.999965
1.166667,1,0,0.999965,0.000398,0.000035,0.999965
1.200000,1,0,0.999965,0.000398,0.000035,0.999965
1.233333,1,0,0.999965,0.000398,0.000035,0.999965
1.266667,1,0,0.999965,0.000398,0.000035,0.999965
1.300000,1,0,0.999965,0.000398,0.000035,0.999965
1.333333,1,0,0.999982,0.000216,0.000018,0.999982
1.366667,1,0,0.999982,0.000216,0.000018,0.999982
1.400000,1,0,0.999982,0.000216,0.000018,0.999982
