timestep,policy_id,gt_policy_id,confidence,entropy,prob_policy_0,prob_policy_1
0.000000,0,0,0.999931,0.000730,0.999931,0.000069
0.033333,0,0,0.999931,0.000730,0.999931,0.000069
0.066667,0,0,0.999931,0.000730,0.999931,0.000069
0.100000,0,0,0.999931,0.000730,0.999931,0.000069
0.133333,0,0,0.999931,0.000730,0.999931,0.000069
0.166667,0,0,0.999931,0.000730,0.999931,0.000069
0.200000,0,0,0.999931,0.000730,0.999931,0.000069
0.233333,0,0,0.999931,0.000730,0.999931,0.000069
0.266667,0,0,0.999929,0.000745,0.999929,0.000071
0.300000,0,0,0.999929,0.000745,0.999929,0.000071
0.333333,0,0,0.999929,0.000745,0.999929,0.000071
0.366667,0,0,0.999929,0.000745,0.999929,0.000071
0.400000,0,0,0.999929,0.000745,0.999929,0.000071
0.433333,0,0,0.999929,0.000745,0.999929,0.000071
0.466667,0,0,0.999929,0.000745,0.999929,0.000071
0.500000,0,0,0.999929,0.000745,0.999929,0.000071
0.533333,0,0,0.999898,0.001035,0.999898,0.000102
0.566667,0,0,0.999898,0.001035,0.999898,0.000102
0.600000,0,0,0.999898,0.001035,0.999898,0.000102
0.633333,0,0,0.999898,0.001035,0.999898,0.000102
0.666667,0,0,0.999898,0.001035,0.999898,0.000102
0.700000,0,0,0.999898,0.001035,0.999898,0.000102
0.733333,0,0,0.999898,0.001035,0.999898,0.000102
0.766667,0,0,0.999898,0.001035,0.999898,0.000102
0.800000,0,0,0.999869,0.001303,0.999869,0.000131
0.833333,0,0,0.999869,0.001303,0.999869,0.000131
0.866667,0,0,0.999869,0.001303,0.999869,0.000131
0.900000,0,0,0.999869,0.001303,0.999869,0.000131
0.933333,0,0,0.999869,0.001303,0.999869,0.000131
0.966667,0,0,0.999869,0.001303,0.999869,0.000131
1.000000,0,0,0.999869,0.001303,0.999869,0.000131
1.033333,0,0,0.999869,0.001303,0.999869,0.000131
1.066667,0,0,0.999932,0.000717,0.999932,0.000068
1.100000,0,0,0.999932,0.000717,0.999932,0.000068
1.133333,0,0,0.999932,0.000717,0.999932,0.000068
1.166667,0,0,0.999932,0.000717,0.999932,0.000068
1.200000,0,0,0.999932,0.000717,0.999932,0.000068
1.233333,0,0,0.999932,0.000717,0.999932,0.000068
1.266667,0,0,0.999932,0.000717,0.999932,0.000068
1.300000,0,0,0.999932,0.000717,0.999932,0.000068
1.333333,0,0,0.999998,0.000031,0.999998,0.000002
1.366667,0,0,0.999998,0.000031,0.999998,0.000002
1.400000,0,0,0.999998,0.000031,0.999998,0.000002
1.433333,0,0,0.999998,0.000031,0.999998,0.000002
1.466667,0,0,0.999998,0.000031,0.999998,0.000002
1.500000,0,0,0.999998,0.000031,0.999998,0.000002
1.533333,0,0,0.999998,0.000031,0.999998,0.000002
1.566667,0,0,0.999998,0.000031,0.999998,0.000002
1.600000,0,0,1.000000,0.000004,1.000000,0.000000
1.633333,0,0,1.000000,0.000004,1.000000,0.000000
1.666667,0,0,1.000000,0.000004,1.000000,0.000000
1.700000,0,0,1.000000,0.000004,1.000000,0.000000
1.733333,0,0,1.000000,0.000004,1.000000,0.000000
1.766667,0,0,1.000000,0.000004,1.000000,0.000000
1.800000,0,0,1.000000,0.000004,1.000000,0.000000
1.833333,0,0,1.000000,0.000004,1.000000,0.000000
1.866667,0,0,0.999534,0.004037,0.999534,0.000465
1.900000,0,0,0.999534,0.004037,0.999534,0.000465
1.933333,0,0,0.999534,0.004037,0.999534,0.000465
1.966667,0,0,0.999534,0.004037,0.999534,0.000465
2.000000,0,0,0.999534,0.004037,0.999534,0.000465
2.033333,0,0,0.999534,0.004037,0.999534,0.000465
2.066667,0,0,0.999534,0.004037,0.999534,0.000465
2.100000,0,0,0.999534,0.004037,0.999534,0.000465
2.133333,0,0,0.999069,0.007427,0.999069,0.000931
2.166667,0,0,0.999069,0.007427,0.999069,0.000931
2.200000,0,0,0.999069,0.007427,0.999069,0.000931
2.233333,0,0,0.999069,0.007427,0.999069,0.000931
2.266667,0,0,0.999069,0.007427,0.999069,0.000931
2.300000,0,0,0.999069,0.007427,0.999069,0.000931
2.333333,0,0,0.999069,0.007427,0.999069,0.000931
2.366667,0,0,0.999069,0.007427,0.999069,0.000931
2.400000,0,0,0.999534,0.004037,0.999534,0.000465
2.433333,0,0,0.999534,0.004037,0.999534,0.000465
2.466667,0,0,0.999534,0.004037,0.999534,0.000465
2.500000,0,0,0.999534,0.004037,0.999534,0.000465
2.533333,0,0,0.999534,0.004037,0.999534,0.000465
2.566667,0,0,0.999534,0.004037,0.999534,0.000465
2.600000,0,0,0.999534,0.004037,0.999534,0.000465
2.633333,0,0,0.999534,0.004037,0.999534,0.000465
2.666667,0,0,1.000000,0.000003,1.000000,0.000000
2.700000,0,0,1.000000,0.000003,1.000000,0.000000
2.733333,0,0,1.000000,0.000003,1.000000,0.000000
2.766667,0,0,1.000000,0.000003,1.000000,0.000000
2.800000,0,0,1.000000,0.000003,1.000000,0.000000
2.833333,0,0,1.000000,0.000003,1.000000,0.000000
2.866667,0,0,1.000000,0.000003,1.000000,0.000000
2.900000,0,0,1.000000,0.000003,1.000000,0.000000
2.933333,0,0,0.999999,0.000014,0.999999,0.000001
2.966667,0,0,0.999999,0.000014,0.999999,0.000001
3.000000,0,0,0.999999,0.000014,0.999999,0.000001
3.033333,0,0,0.999999,0.000014,0.999999,0.000001
3.066667,0,0,0.999999,0.000014,0.999999,0.000001
3.100000,0,0,0.999999,0.000014,0.999999,0.000001
3.133333,0,0,0.999999,0.000014,0.999999,0.000001
3.166667,0,0,0.999999,0.000014,0.999999,0.000001
3.200000,0,0,0.999979,0.000245,0.999979,0.000021
3.233333,0,0,0.999979,0.000245,0.999979,0.000021
3.266667,0,0,0.999979,0.000245,0.999979,0.000021
3.300000,0,0,0.999979,0.000245,0.999979,0.000021
3.333333,0,0,0.999979,0.000245,0.999979,0.000021
3.366667,0,0,0.999979,0.000245,0.999979,0.000021
3.400000,0,0,0.999979,0.000245,0.999979,0.000021
3.433333,0,0,0.999979,0.000245,0.999979,0.000021
3.466667,0,0,0.999963,0.000417,0.999963,0.000037
3.500000,0,0,0.999963,0.000417,0.999963,0.000037
3.533333,0,0,0.999963,0.000417,0.999963,0.000037
3.566667,0,0,0.999963,0.000417,0.999963,0.000037
3.600000,0,0,0.999963,0.000417,0.999963,0.000037
3.633333,0,0,0.999963,0.000417,0.999963,0.000037
3.666667,0,0,0.999963,0.000417,0.999963,0.000037
3.700000,0,0,0.999963,0.000417,0.999963,0.000037
3.733333,0,0,0.999968,0.000367,0.999968,0.000032
3.766667,0,0,0.999968,0.000367,0.999968,0.000032
3.800000,0,0,0.999968,0.000367,0.999968,0.000032
3.833333,0,0,0.999968,0.000367,0.999968,0.000032
3.866667,0,0,0.999968,0.000367,0.999968,0.000032
3.900000,0,0,0.999968,0.000367,0.999968,0.000032
3.933333,0,0,0.999968,0.000367,0.999968,0.000032
3.966667,0,0,0.999968,0.000367,0.999968,0.000032
4.000000,0,0,0.999970,0.000344,0.999970,0.000030
4.033333,0,0,0.999970,0.000344,0.999970,0.000030
4.066667,0,0,0.999970,0.000344,0.999970,0.000030
4.100000,0,0,0.999970,0.000344,0.999970,0.000030
4.133333,0,0,0.999970,0.000344,0.999970,0.000030
4.166667,0,0,0.999970,0.000344,0.999970,0.000030
4.200000,0,0,0.999970,0.000344,0.999970,0.000030
4.233333,0,0,0.999970,0.000344,0.999970,0.000030
4.266667,0,0,0.999970,0.000344,0.999970,0.000030
4.300000,0,0,0.999970,0.000344,0.999970,0.000030
4.333333,0,0,0.999970,0.000344,0.999970,0.000030
4.366667,0,0,0.999970,0.000344,0.999970,0.000030
4.400000,0,0,0.999970,0.000344,0.999970,0.000030
4.433333,0,0,0.999970,0.000344,0.999970,0.000030
4.466667,0,0,0.999970,0.000344,0.999970,0.000030
