timestep,policy_id,gt_policy_id,confidence,entropy,prob_policy_0,prob_policy_1
0.000000,0,0,0.999994,0.000077,0.999994,0.000006
0.033333,0,0,0.999994,0.000077,0.999994,0.000006
0.066667,0,0,0.999994,0.000077,0.999994,0.000006
0.100000,0,0,0.999994,0.000077,0.999994,0.000006
0.133333,0,0,0.999994,0.000077,0.999994,0.000006
0.166667,0,0,0.999994,0.000077,0.999994,0.000006
0.200000,0,0,0.999994,0.000077,0.999994,0.000006
0.233333,0,0,0.999994,0.000077,0.999994,0.000006
0.266667,0,0,0.957911,0.174526,0.957911,0.042089
0.300000,0,0,0.957911,0.174526,0.957911,0.042089
0.333333,0,0,0.957911,0.174526,0.957911,0.042089
0.366667,0,0,0.957911,0.174526,0.957911,0.042089
0.400000,0,0,0.957911,0.174526,0.957911,0.042089
0.433333,0,0,0.957911,0.174526,0.957911,0.042089
0.466667,0,0,0.957911,0.174526,0.957911,0.042089
0.500000,0,0,0.957911,0.174526,0.957911,0.042089
0.533333,0,0,0.957544,0.175671,0.957544,0.042456
0.566667,0,0,0.957544,0.175671,0.957544,0.042456
0.600000,0,0,0.957544,0.175671,0.957544,0.042456
0.633333,0,0,0.957544,0.175671,0.957544,0.042456
0.666667,0,0,0.957544,0.175671,0.957544,0.042456
0.700000,0,0,0.957544,0.175671,0.957544,0.042456
0.733333,0,0,0.957544,0.175671,0.957544,0.042456
0.766667,0,0,0.957544,0.175671,0.957544,0.042456
0.800000,0,0,0.999627,0.003316,0.999627,0.000373
0.833333,0,0,0.999627,0.003316,0.999627,0.000373
0.866667,0,0,0.999627,0.003316,0.999627,0.000373
0.900000,0,0,0.999627,0.003316,0.999627,0.000373
0.933333,0,0,0.999627,0.003316,0.999627,0.000373
0.966667,0,0,0.999627,0.003316,0.999627,0.000373
1.000000,0,0,0.999627,0.003316,0.999627,0.000373
1.033333,0,0,0.999627,0.003316,0.999627,0.000373
1.066667,0,0,0.791267,0.512274,0.791267,0.208733
1.100000,0,0,0.791267,0.512274,0.791267,0.208733
1.133333,0,0,0.791267,0.512274,0.791267,0.208733
1.166667,0,0,0.791267,0.512274,0.791267,0.208733
1.200000,0,0,0.791267,0.512274,0.791267,0.208733
1.233333,0,0,0.791267,0.512274,0.791267,0.208733
1.266667,0,0,0.791267,0.512274,0.791267,0.208733
1.300000,0,0,0.791267,0.512274,0.791267,0.208733
1.333333,0,0,0.789696,0.514359,0.789696,0.210304
1.366667,0,0,0.789696,0.514359,0.789696,0.210304
1.400000,0,0,0.789696,0.514359,0.789696,0.210304
1.433333,0,0,0.789696,0.514359,0.789696,0.210304
1.466667,0,0,0.789696,0.514359,0.789696,0.210304
1.500000,0,0,0.789696,0.514359,0.789696,0.210304
1.533333,0,0,0.789696,0.514359,0.789696,0.210304
1.566667,0,0,0.789696,0.514359,0.789696,0.210304
1.600000,0,0,0.561578,0.685544,0.561578,0.438422
1.633333,0,0,0.561578,0.685544,0.561578,0.438422
1.666667,0,0,0.561578,0.685544,0.561578,0.438422
1.700000,0,0,0.561578,0.685544,0.561578,0.438422
1.733333,0,0,0.561578,0.685544,0.561578,0.438422
1.766667,0,0,0.561578,0.685544,0.561578,0.438422
1.800000,0,0,0.561578,0.685544,0.561578,0.438422
1.833333,0,0,0.561578,0.685544,0.561578,0.438422
1.866667,1,0,0.933433,0.244666,0.066567,0.933433
1.900000,1,0,0.933433,0.244666,0.066567,0.933433
1.933333,1,0,0.933433,0.244666,0.066567,0.933433
1.966667,1,0,0.933433,0.244666,0.066567,0.933433
2.000000,1,0,0.933433,0.244666,0.066567,0.933433
2.033333,1,0,0.933433,0.244666,0.066567,0.933433
2.066667,1,0,0.933433,0.244666,0.066567,0.933433
2.100000,1,0,0.933433,0.244666,0.066567,0.933433
2.133333,0,0,0.550304,0.688078,0.449696,0.550304
2.166667,0,0,0.550304,0.688078,0.449696,0.550304
2.200000,0,0,0.550304,0.688078,0.449696,0.550304
2.233333,0,0,0.550304,0.688078,0.449696,0.550304
2.266667,0,0,0.550304,0.688078,0.449696,0.550304
2.300000,0,0,0.550304,0.688078,0.449696,0.550304
2.333333,0,0,0.550304,0.688078,0.449696,0.550304
2.366667,0,0,0.550304,0.688078,0.449696,0.550304
2.400000,0,0,0.946223,0.209488,0.946223,0.053777
2.433333,0,0,0.946223,0.209488,0.946223,0.053777
2.466667,0,0,0.946223,0.209488,0.946223,0.053777
2.500000,0,0,0.946223,0.209488,0.946223,0.053777
2.533333,0,0,0.946223,0.209488,0.946223,0.053777
2.566667,0,0,0.946223,0.209488,0.946223,0.053777
2.600000,0,0,0.946223,0.209488,0.946223,0.053777
2.633333,0,0,0.946223,0.209488,0.946223,0.053777
2.666667,0,0,0.668585,0.635176,0.668585,0.331415
2.700000,0,0,0.668585,0.635176,0.668585,0.331415
2.733333,0,0,0.668585,0.635176,0.668585,0.331415
2.766667,0,0,0.668585,0.635176,0.668585,0.331415
2.800000,0,0,0.668585,0.635176,0.668585,0.331415
2.833333,0,0,0.668585,0.635176,0.668585,0.331415
2.866667,0,0,0.668585,0.635176,0.668585,0.331415
2.900000,0,0,0.668585,0.635176,0.668585,0.331415
2.933333,0,0,0.617836,0.665114,0.617836,0.382164
2.966667,0,0,0.617836,0.665114,0.617836,0.382164
3.000000,0,0,0.617836,0.665114,0.617836,0.382164
3.033333,0,0,0.617836,0.665114,0.617836,0.382164
3.066667,0,0,0.617836,0.665114,0.617836,0.382164
3.100000,0,0,0.617836,0.665114,0.617836,0.382164
3.133333,0,0,0.617836,0.665114,0.617836,0.382164
3.166667,0,0,0.617836,0.665114,0.617836,0.382164
3.200000,0,0,0.923373,0.270452,0.923373,0.076627
3.233333,0,0,0.923373,0.270452,0.923373,0.076627
