timestep,policy_id,gt_policy_id,confidence,entropy,prob_policy_0,prob_policy_1
0.000000,0,0,0.931580,0.249532,0.931580,0.068420
0.033333,0,0,0.931580,0.249532,0.931580,0.068420
0.066667,0,0,0.931580,0.249532,0.931580,0.068420
0.100000,0,0,0.931580,0.249532,0.931580,0.068420
0.133333,0,0,0.931580,0.249532,0.931580,0.068420
0.166667,0,0,0.931580,0.249532,0.931580,0.068420
0.200000,0,0,0.931580,0.249532,0.931580,0.068420
0.233333,0,0,0.931580,0.249532,0.931580,0.068420
0.266667,0,0,0.964805,0.152362,0.964805,0.035195
0.300000,0,0,0.964805,0.152362,0.964805,0.035195
0.333333,0,0,0.964805,0.152362,0.964805,0.035195
0.366667,0,0,0.964805,0.152362,0.964805,0.035195
0.400000,0,0,0.964805,0.152362,0.964805,0.035195
0.433333,0,0,0.964805,0.152362,0.964805,0.035195
0.466667,0,0,0.964805,0.152362,0.964805,0.035195
0.500000,0,0,0.964805,0.152362,0.964805,0.035195
0.533333,0,0,0.861260,0.402670,0.861260,0.138740
0.566667,0,0,0.861260,0.402670,0.861260,0.138740
0.600000,0,0,0.861260,0.402670,0.861260,0.138740
0.633333,0,0,0.861260,0.402670,0.861260,0.138740
0.666667,0,0,0.861260,0.402670,0.861260,0.138740
0.700000,0,0,0.861260,0.402670,0.861260,0.138740
0.733333,0,0,0.861260,0.402670,0.861260,0.138740
0.766667,0,0,0.861260,0.402670,0.861260,0.138740
0.800000,0,0,0.862048,0.401228,0.862048,0.137952
0.833333,0,0,0.862048,0.401228,0.862048,0.137952
0.866667,0,0,0.862048,0.401228,0.862048,0.137952
0.900000,0,0,0.862048,0.401228,0.862048,0.137952
0.933333,0,0,0.862048,0.401228,0.862048,0.137952
0.966667,0,0,0.862048,0.401228,0.862048,0.137952
1.000000,0,0,0.862048,0.401228,0.862048,0.137952
1.033333,0,0,0.862048,0.401228,0.862048,0.137952
1.066667,0,0,0.999786,0.002023,0.999786,0.000214
1.100000,0,0,0.999786,0.002023,0.999786,0.000214
1.133333,0,0,0.999786,0.002023,0.999786,0.000214
1.166667,0,0,0.999786,0.002023,0.999786,0.000214
1.200000,0,0,0.999786,0.002023,0.999786,0.000214
1.233333,0,0,0.999786,0.002023,0.999786,0.000214
1.266667,0,0,0.999786,0.002023,0.999786,0.000214
1.300000,0,0,0.999786,0.002023,0.999786,0.000214
1.333333,0,0,0.997835,0.015443,0.997835,0.002165
1.366667,0,0,0.997835,0.015443,0.997835,0.002165
1.400000,0,0,0.997835,0.015443,0.997835,0.002165
1.433333,0,0,0.997835,0.015443,0.997835,0.002165
1.466667,0,0,0.997835,0.015443,0.997835,0.002165
1.500000,0,0,0.997835,0.015443,0.997835,0.002165
1.533333,0,0,0.997835,0.015443,0.997835,0.002165
1.566667,0,0,0.997835,0.015443,0.997835,0.002165
1.600000,0,0,0.995483,0.028900,0.995483,0.004517
1.633333,0,0,0.995483,0.028900,0.995483,0.004517
1.666667,0,0,0.995483,0.028900,0.995483,0.004517
1.700000,0,0,0.995483,0.028900,0.995483,0.004517
1.733333,0,0,0.995483,0.028900,0.995483,0.004517
1.766667,0,0,0.995483,0.028900,0.995483,0.004517
1.800000,0,0,0.995483,0.028900,0.995483,0.004517
1.833333,0,0,0.995483,0.028900,0.995483,0.004517
