timestep,policy_id,gt_policy_id,confidence,entropy,prob_policy_0,prob_policy_1
0.000000,1,1,0.999451,0.004669,0.000549,0.999451
0.033333,1,1,0.999451,0.004669,0.000549,0.999451
0.066667,1,1,0.999451,0.004669,0.000549,0.999451
0.100000,1,1,0.999451,0.004669,0.000549,0.999451
0.133333,1,1,0.999451,0.004669,0.000549,0.999451
0.166667,1,1,0.999451,0.004669,0.000549,0.999451
0.200000,1,1,0.999451,0.004669,0.000549,0.999451
0.233333,1,1,0.999451,0.004669,0.000549,0.999451
0.266667,1,1,0.999725,0.002529,0.000275,0.999725
0.300000,1,1,0.999725,0.002529,0.000275,0.999725
0.333333,1,1,0.999725,0.002529,0.000275,0.999725
0.366667,1,1,0.999725,0.002529,0.000275,0.999725
0.400000,1,1,0.999725,0.002529,0.000275,0.999725
0.433333,1,1,0.999725,0.002529,0.000275,0.999725
0.466667,1,1,0.999725,0.002529,0.000275,0.999725
0.500000,1,1,0.999725,0.002529,0.000275,0.999725
0.533333,0,1,0.705161,0.606428,0.294839,0.705161
0.566667,0,1,0.705161,0.606428,0.294839,0.705161
0.600000,0,1,0.705161,0.606428,0.294839,0.705161
0.633333,0,1,0.705161,0.606428,0.294839,0.705161
0.666667,0,1,0.705161,0.606428,0.294839,0.705161
0.700000,0,1,0.705161,0.606428,0.294839,0.705161
0.733333,0,1,0.705161,0.606428,0.294839,0.705161
0.766667,0,1,0.705161,0.606428,0.294839,0.705161
0.800000,0,0,0.791855,0.511488,0.791855,0.208145
0.833333,0,0,0.791855,0.511488,0.791855,0.208145
0.866667,0,0,0.791855,0.511488,0.791855,0.208145
0.900000,0,0,0.791855,0.511488,0.791855,0.208145
0.933333,0,0,0.791855,0.511488,0.791855,0.208145
0.966667,0,0,0.791855,0.511488,0.791855,0.208145
1.000000,0,0,0.791855,0.511488,0.791855,0.208145
1.033333,0,0,0.791855,0.511488,0.791855,0.208145
1.066667,0,0,0.961956,0.161678,0.961956,0.038044
1.100000,0,0,0.961956,0.161678,0.961956,0.038044
1.133333,0,0,0.961956,0.161678,0.961956,0.038044
1.166667,0,0,0.961956,0.161678,0.961956,0.038044
1.200000,0,0,0.961956,0.161678,0.961956,0.038044
1.233333,0,0,0.961956,0.161678,0.961956,0.038044
1.266667,0,0,0.961956,0.161678,0.961956,0.038044
1.300000,0,0,0.961956,0.161678,0.961956,0.038044
1.333333,0,0,0.958286,0.173354,0.958286,0.041714
1.366667,0,0,0.958286,0.173354,0.958286,0.041714
1.400000,0,0,0.958286,0.173354,0.958286,0.041714
1.433333,0,0,0.958286,0.173354,0.958286,0.041714
1.466667,0,0,0.958286,0.173354,0.958286,0.041714
1.500000,0,0,0.958286,0.173354,0.958286,0.041714
1.533333,0,0,0.958286,0.173354,0.958286,0.041714
1.566667,0,0,0.958286,0.173354,0.958286,0.041714
1.600000,0,0,0.993345,0.039988,0.993345,0.006655
1.633333,0,0,0.993345,0.039988,0.993345,0.006655
1.666667,0,0,0.993345,0.039988,0.993345,0.006655
1.700000,0,0,0.993345,0.039988,0.993345,0.006655
1.733333,0,0,0.993345,0.039988,0.993345,0.006655
1.766667,0,0,0.993345,0.039988,0.993345,0.006655
1.800000,0,0,0.993345,0.039988,0.993345,0.006655
1.833333,0,0,0.993345,0.039988,0.993345,0.006655
1.866667,0,0,0.999925,0.000785,0.999925,0.000075
1.900000,0,0,0.999925,0.000785,0.999925,0.000075
1.933333,0,0,0.999925,0.000785,0.999925,0.000075
1.966667,0,0,0.999925,0.000785,0.999925,0.000075
2.000000,0,0,0.999925,0.000785,0.999925,0.000075
2.033333,0,0,0.999925,0.000785,0.999925,0.000075
2.066667,0,0,0.999925,0.000785,0.999925,0.000075
2.100000,0,0,0.999925,0.000785,0.999925,0.000075
2.133333,0,0,0.995152,0.030673,0.995152,0.004848
2.166667,0,0,0.995152,0.030673,0.995152,0.004848
2.200000,0,0,0.995152,0.030673,0.995152,0.004848
2.233333,0,0,0.995152,0.030673,0.995152,0.004848
2.266667,0,0,0.995152,0.030673,0.995152,0.004848
2.300000,0,0,0.995152,0.030673,0.995152,0.004848
2.333333,0,0,0.995152,0.030673,0.995152,0.004848
2.366667,0,0,0.995152,0.030673,0.995152,0.004848
2.400000,0,0,0.981242,0.093165,0.981242,0.018758
2.433333,0,0,0.981242,0.093165,0.981242,0.018758
2.466667,0,0,0.981242,0.093165,0.981242,0.018758
2.500000,0,0,0.981242,0.093165,0.981242,0.018758
2.533333,0,0,0.981242,0.093165,0.981242,0.018758
2.566667,0,0,0.981242,0.093165,0.981242,0.018758
2.600000,0,0,0.981242,0.093165,0.981242,0.018758
2.633333,0,0,0.981242,0.093165,0.981242,0.018758
2.666667,0,0,0.985662,0.075096,0.985662,0.014338
2.700000,0,0,0.985662,0.075096,0.985662,0.014338
2.733333,0,0,0.985662,0.075096,0.985662,0.014338
2.766667,0,0,0.985662,0.075096,0.985662,0.014338
2.800000,0,0,0.985662,0.075096,0.985662,0.014338
2.833333,0,0,0.985662,0.075096,0.985662,0.014338
2.866667,0,0,0.985662,0.075096,0.985662,0.014338
2.900000,0,0,0.985662,0.075096,0.985662,0.014338
2.933333,0,0,0.986981,0.069455,0.986981,0.013019
2.966667,0,0,0.986981,0.069455,0.986981,0.013019
3.000000,0,0,0.986981,0.069455,0.986981,0.013019
3.033333,0,0,0.986981,0.069455,0.986981,0.013019
3.066667,0,0,0.986981,0.069455,0.986981,0.013019
3.100000,0,0,0.986981,0.069455,0.986981,0.013019
3.133333,0,0,0.986981,0.069455,0.986981,0.013019
3.166667,0,0,0.986981,0.069455,0.986981,0.013019
3.200000,0,0,0.909137,0.304531,0.909137,0.090863
3.233333,0,0,0.909137,0.304531,0.909137,0.090863
3.266667,0,0,0.909137,0.304531,0.909137,0.090863
3.300000,0,0,0.909137,0.304531,0.909137,0.090863
3.333333,0,0,0.909137,0.304531,0.909137,0.090863
3.366667,0,0,0.909137,0.304531,0.909137,0.090863
3.400000,0,0,0.909137,0.304531,0.909137,0.090863
3.433333,0,0,0.909137,0.304531,0.909137,0.090863
3.466667,0,0,0.921445,0.275226,0.921445,0.078555
3.500000,0,0,0.921445,0.275226,0.921445,0.078555
3.533333,0,0,0.921445,0.275226,0.921445,0.078555
3.566667,0,0,0.921445,0.275226,0.921445,0.078555
3.600000,0,0,0.921445,0.275226,0.921445,0.078555
3.633333,0,0,0.921445,0.275226,0.921445,0.078555
