timestep,gt_policy_id,pred_policy_id,confidence,entropy
0.000000,0,-1,,
0.033333,0,-1,,
0.066667,0,-1,,
0.100000,0,-1,,
0.133333,0,-1,,
0.166667,0,-1,,
0.200000,0,-1,,
0.233333,0,-1,,
0.266667,0,-1,,
0.300000,0,-1,,
0.333333,0,-1,,
0.366667,0,-1,,
0.400000,0,-1,,
0.433333,0,-1,,
0.466667,0,-1,,
0.500000,0,0,0.999997,0.000045
0.533333,0,0,0.999997,0.000045
0.566667,0,0,0.999997,0.000045
0.600000,0,0,0.999974,0.000295
0.633333,0,0,0.999974,0.000295
0.666667,0,0,0.999974,0.000295
0.700000,0,0,0.999974,0.000304
0.733333,0,0,0.999027,0.007721
0.766667,0,0,0.999027,0.007721
0.800000,0,0,1.000000,0.000006
0.833333,0,0,0.999999,0.000015
0.866667,0,0,0.999984,0.000194
0.900000,0,0,0.999984,0.000194
0.933333,0,0,0.999756,0.002277
0.966667,0,0,0.999756,0.002277
1.000000,0,0,0.999998,0.000031
1.033333,0,0,0.999998,0.000031
1.066667,0,0,0.999997,0.000047
1.100000,0,0,0.999997,0.000047
1.133333,0,0,0.999997,0.000047
1.166667,0,0,0.999913,0.000900
1.200000,0,0,0.999913,0.000900
1.233333,0,0,0.999913,0.000900
1.266667,0,0,1.000000,0.000001
1.300000,0,0,1.000000,0.000001
1.333333,0,0,1.000000,0.000001
1.366667,0,0,0.999999,0.000012
1.400000,0,0,0.999999,0.000012
1.433333,0,0,0.999966,0.000383
1.466667,0,0,0.999777,0.002096
1.500000,0,0,0.999987,0.000157
1.533333,0,0,0.999987,0.000157
1.566667,0,0,0.999987,0.000157
1.600000,0,0,0.999411,0.004967
1.633333,0,0,0.999411,0.004967
1.666667,0,0,0.999999,0.000011
1.700000,0,0,0.999999,0.000011
1.733333,0,0,0.999999,0.000019
1.766667,0,0,0.999888,0.001132
1.800000,0,0,0.999888,0.001132
1.833333,0,0,0.999888,0.001132
1.866667,0,0,0.999888,0.001132
1.900000,0,0,1.000000,0.000001
1.933333,0,0,1.000000,0.000001
1.966667,0,0,1.000000,0.000001
2.000000,0,0,1.000000,0.000001
2.033333,0,0,1.000000,0.000001
2.066667,0,0,1.000000,0.000001
2.100000,0,0,0.999995,0.000069
2.133333,0,0,0.999995,0.000069
2.166667,0,0,0.999995,0.000069
2.200000,0,0,0.999995,0.000069
2.233333,0,0,0.999995,0.000069
2.266667,0,0,1.000000,0.000000
2.300000,0,0,1.000000,0.000000
2.333333,0,0,1.000000,0.000000
2.366667,0,0,1.000000,0.000000
2.400000,0,0,1.000000,0.000000
2.433333,0,0,1.000000,0.000000
2.466667,0,0,1.000000,0.000000
2.500000,0,0,1.000000,0.000000
2.533333,0,0,1.000000,0.000005
2.566667,1,0,1.000000,0.000000
2.600000,1,0,1.000000,0.000000
2.633333,1,0,1.000000,0.000000
2.666667,1,0,1.000000,0.000002
2.700000,1,0,0.999999,0.000016
2.733333,1,0,0.999999,0.000016
2.766667,1,0,0.999815,0.001778
2.800000,1,0,0.999815,0.001778
2.833333,1,0,0.999994,0.000073
2.866667,1,0,0.999894,0.001077
2.900000,1,0,0.999973,0.000312
2.933333,1,0,0.714414,0.598152
2.966667,1,0,0.999977,0.000269
3.000000,1,0,0.771047,0.538008
3.033333,1,1,0.609320,0.669051
3.066667,1,1,0.999753,0.002297
3.100000,1,1,0.999945,0.000597
3.133333,1,1,0.999239,0.006225
3.166667,1,1,0.999998,0.000024
3.200000,1,1,0.994345,0.034905
3.233333,1,1,0.534408,0.690777
3.266667,1,1,0.995234,0.030236
3.300000,1,1,0.999889,0.001126
3.333333,1,1,1.000000,0.000004
3.366667,1,1,0.999983,0.000203
3.400000,1,1,1.000000,0.000002
3.433333,1,1,0.999626,0.003323
3.466667,1,1,0.970082,0.134458
3.500000,1,0,0.553808,0.687345
3.533333,1,1,0.570189,0.683262
3.566667,1,0,0.996066,0.025716
3.600000,1,0,0.782379,0.523881
3.633333,1,1,0.735319,0.577897
3.666667,1,0,0.548972,0.688343
3.700000,1,1,0.808147,0.488899
3.733333,1,1,0.925542,0.265020
3.766667,1,1,0.994201,0.035645
3.800000,1,1,1.000000,0.000000
3.833333,1,1,1.000000,0.000004
3.866667,1,0,0.949717,0.199347
3.900000,1,1,0.957029,0.177273
3.933333,1,1,1.000000,0.000000
3.966667,1,0,0.594771,0.675075
4.000000,1,1,0.587768,0.677661
4.033333,1,1,0.996462,0.023502
4.066667,1,1,1.000000,0.000001
4.100000,1,0,0.632504,0.657610
4.133333,1,1,1.000000,0.000003
4.166667,1,1,0.996588,0.022786
4.200000,1,1,1.000000,0.000000
4.233333,1,1,0.775723,0.532268
4.266667,1,1,0.999980,0.000238
4.300000,1,1,0.999941,0.000629
4.333333,1,0,0.634869,0.656314
4.366667,1,1,0.999257,0.006094
4.400000,1,1,0.739469,0.573612
4.433333,1,1,1.000000,0.000002
4.466667,1,0,0.741511,0.571471
4.500000,1,0,0.884190,0.358492
4.533333,1,1,0.520599,0.692298
4.566667,1,1,0.999457,0.004629
4.600000,1,1,0.961590,0.162858
4.633333,1,1,0.999841,0.001549
4.666667,1,1,0.994952,0.031731
4.700000,1,1,0.999988,0.000147
4.733333,1,0,0.944510,0.214372
4.766667,1,1,0.835953,0.446321
4.800000,1,1,0.999998,0.000023
4.833333,1,1,0.999912,0.000911
4.866667,1,1,0.997079,0.019966
